Просмотры,Время просмотра (часы),Поделились,Постоянные зрители,Новые комментарии,Отказались от подписки,Новые подписчики,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Процент лайков,Средняя продолжительность просмотра,Дизлайки,Лайки
1461.0,56.7718,7.0,211.0,0.0,2.0,5.0,590.0,1.824,801.0,6.29,12328.0,3.0,24.55,64.29,139.8894455852156,5.0,9.0
852.0,33.4202,8.0,144.0,1.0,3.0,6.0,328.0,1.8051,472.0,6.52,6088.0,3.0,24.83,94.74,141.21211267605634,1.0,18.0
800.0,27.3233,9.0,139.0,0.0,2.0,7.0,357.0,1.6129,496.0,7.08,5407.0,5.0,21.92,100.0,122.95485000000001,0.0,9.0
1377.0,52.8695,6.0,234.0,0.0,2.0,6.0,527.0,1.8095,761.0,5.84,11344.0,4.0,24.59,94.74,138.22091503267976,1.0,18.0
1830.0,73.7678,18.0,239.0,0.0,3.0,8.0,596.0,2.1916,835.0,5.21,15753.0,5.0,27.91,90.0,145.11698360655734,2.0,18.0
1483.0,61.783,8.0,206.0,1.0,3.0,12.0,567.0,1.9185,773.0,5.09,13356.0,9.0,28.32,100.0,149.9789615643965,0.0,32.0
1339.0,50.0952,11.0,209.0,1.0,3.0,8.0,605.0,1.645,814.0,7.49,8882.0,5.0,24.22,96.15,134.6846303211352,1.0,25.0
1396.0,54.4198,4.0,208.0,1.0,1.0,6.0,609.0,1.7087,817.0,7.01,9784.0,5.0,26.2,94.44,140.33759312320916,1.0,17.0
809.0,29.8835,4.0,136.0,0.0,2.0,5.0,292.0,1.8902,428.0,5.5,7128.0,3.0,25.77,100.0,132.97972805933253,0.0,10.0
791.0,33.3468,7.0,121.0,0.0,1.0,7.0,348.0,1.6866,469.0,6.6,6049.0,6.0,26.81,100.0,151.76798988622,0.0,17.0
1035.0,30.1706,7.0,166.0,3.0,3.0,8.0,489.0,1.5802,655.0,5.93,8994.0,5.0,19.06,93.75,104.94121739130435,1.0,15.0
1378.0,65.7362,9.0,225.0,0.0,1.0,8.0,511.0,1.8723,736.0,5.4,11828.0,7.0,30.75,94.74,171.73462989840345,1.0,18.0
1414.0,56.5463,9.0,247.0,0.0,4.0,9.0,553.0,1.7675,800.0,5.94,10937.0,5.0,26.67,100.0,143.96512022630836,0.0,15.0
1360.0,57.6539,8.0,206.0,0.0,0.0,9.0,571.0,1.7503,777.0,6.27,10289.0,9.0,28.57,87.5,152.61326470588236,2.0,14.0
1510.0,56.377,8.0,244.0,2.0,1.0,6.0,631.0,1.7257,875.0,6.02,12077.0,5.0,25.42,90.48,134.4087417218543,2.0,19.0
574.0,21.0178,3.0,128.0,0.0,0.0,6.0,261.0,1.4756,389.0,5.93,4992.0,6.0,23.54,100.0,131.81895470383276,0.0,9.0
747.0,30.6578,8.0,97.0,0.0,0.0,6.0,342.0,1.7016,439.0,5.59,7000.0,6.0,27.08,83.33,147.74843373493977,1.0,5.0
945.0,34.9532,2.0,179.0,1.0,0.0,3.0,441.0,1.5242,620.0,6.06,7679.0,3.0,23.88,84.62,133.15504761904762,2.0,11.0
1216.0,48.2211,7.0,197.0,1.0,6.0,7.0,511.0,1.7175,708.0,6.45,8983.0,1.0,27.28,94.29,142.75983552631578,2.0,33.0
1175.0,47.1722,12.0,187.0,0.0,2.0,4.0,493.0,1.7279,680.0,5.98,9369.0,2.0,27.41,100.0,144.5275914893617,0.0,26.0
1115.0,43.3319,11.0,191.0,1.0,4.0,10.0,539.0,1.5274,730.0,6.34,8640.0,6.0,25.43,96.0,139.9056860986547,1.0,24.0
1123.0,42.8204,7.0,173.0,0.0,2.0,9.0,534.0,1.5884,707.0,7.02,7877.0,7.0,25.74,89.47,137.2693143365984,2.0,17.0
636.0,22.6337,4.0,108.0,0.0,2.0,4.0,291.0,1.594,399.0,5.92,5730.0,2.0,24.21,92.31,128.11528301886793,1.0,12.0
633.0,24.657,1.0,109.0,0.0,0.0,1.0,285.0,1.6066,394.0,4.82,6541.0,1.0,25.92,75.0,140.22938388625593,2.0,6.0
967.0,33.9467,3.0,169.0,2.0,1.0,11.0,454.0,1.5522,623.0,6.61,7710.0,10.0,22.32,100.0,126.37861427094106,0.0,20.0
1241.0,51.0264,11.0,194.0,0.0,1.0,6.0,488.0,1.8196,682.0,6.9,8798.0,5.0,26.98,86.67,148.02178887993554,2.0,13.0
1281.0,55.5678,6.0,201.0,0.0,0.0,8.0,547.0,1.7126,748.0,5.99,9911.0,8.0,29.12,90.0,156.1624355971897,2.0,18.0
1262.0,50.4303,10.0,217.0,0.0,3.0,6.0,478.0,1.8158,695.0,6.1,9999.0,3.0,26.72,92.31,143.85822503961967,1.0,12.0
1450.0,53.4218,5.0,193.0,1.0,2.0,13.0,603.0,1.8216,796.0,5.52,13053.0,11.0,26.52,87.5,132.63343448275862,2.0,14.0
766.0,27.5035,6.0,111.0,0.0,1.0,4.0,316.0,1.7939,427.0,4.8,7253.0,3.0,25.26,88.89,129.25926892950392,1.0,8.0
790.0,27.6184,3.0,136.0,1.0,1.0,12.0,297.0,1.8245,433.0,5.15,7249.0,11.0,24.05,100.0,125.85600000000001,0.0,9.0
1152.0,46.5792,14.0,182.0,0.0,1.0,4.0,444.0,1.8403,626.0,5.74,9350.0,3.0,28.88,100.0,145.56,0.0,11.0
1256.0,59.6767,14.0,203.0,0.0,3.0,10.0,473.0,1.858,676.0,6.27,8953.0,7.0,33.22,90.91,171.04786624203822,1.0,10.0
1297.0,57.4658,17.0,195.0,1.0,1.0,16.0,497.0,1.8743,692.0,4.64,12193.0,15.0,30.45,100.0,159.50414803392445,0.0,18.0
1252.0,48.7957,10.0,201.0,2.0,0.0,4.0,476.0,1.8493,677.0,5.86,10099.0,4.0,25.91,100.0,140.30712460063896,0.0,23.0
1216.0,49.327,6.0,170.0,0.0,1.0,8.0,476.0,1.8824,646.0,5.75,9592.0,7.0,27.38,93.75,146.03388157894736,1.0,15.0
645.0,26.7775,5.0,111.0,0.0,2.0,7.0,251.0,1.7818,362.0,4.91,6108.0,5.0,27.72,100.0,149.45581395348836,0.0,8.0
732.0,27.3796,3.0,110.0,0.0,1.0,8.0,274.0,1.9063,384.0,6.21,5712.0,7.0,25.62,91.67,134.65377049180327,1.0,11.0
961.0,33.8631,2.0,159.0,1.0,0.0,8.0,420.0,1.6598,579.0,5.15,9418.0,8.0,23.53,91.67,126.85448491155047,2.0,22.0
1130.0,49.4853,49.0,176.0,1.0,4.0,8.0,427.0,1.874,603.0,5.46,10429.0,4.0,30.05,88.46,157.65228318584073,3.0,23.0
1140.0,45.3353,2.0,167.0,0.0,4.0,11.0,406.0,1.9895,573.0,6.02,8618.0,7.0,28.36,85.0,143.1641052631579,3.0,17.0
1231.0,57.6416,7.0,174.0,0.0,2.0,6.0,425.0,2.0551,599.0,4.99,9861.0,4.0,33.55,86.67,168.5700731112916,2.0,13.0
1008.0,39.8554,5.0,141.0,0.0,0.0,2.0,413.0,1.8195,554.0,6.31,6879.0,2.0,27.28,95.45,142.34071428571428,1.0,21.0
707.0,32.617,3.0,114.0,1.0,4.0,9.0,240.0,1.9972,354.0,5.06,4959.0,5.0,33.46,100.0,166.08373408769447,0.0,13.0
652.0,26.4084,5.0,106.0,0.0,0.0,6.0,259.0,1.7863,365.0,4.07,8172.0,6.0,27.87,100.0,145.81325153374235,0.0,11.0
1288.0,65.7858,5.0,172.0,1.0,2.0,10.0,361.0,2.4165,533.0,5.16,8255.0,8.0,38.37,84.62,183.87335403726706,2.0,11.0
1274.0,55.5775,9.0,143.0,1.0,1.0,9.0,336.0,2.6597,479.0,5.06,9035.0,8.0,34.1,87.5,157.04788069073783,1.0,7.0
812.0,32.9925,17.0,118.0,0.0,1.0,8.0,325.0,1.833,443.0,5.18,7147.0,7.0,28.37,93.75,146.27216748768473,1.0,15.0
780.0,34.797,6.0,116.0,1.0,1.0,11.0,268.0,2.0313,384.0,4.61,6920.0,10.0,32.69,90.0,160.60153846153844,1.0,9.0
